-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (direct)      8.00     4.00     1.00
  0 (direct)     13.00     4.00     1.50
  1 (profile)    18.50     4.00     5.00
  1 (profile)    27.50     4.00     5.75
  2 (control)    37.25     4.00     2.25
  1 (profile)    43.50     4.00     3.50
  1 (profile)    51.00     4.00     4.25
  2 (control)    59.25     4.00     2.50
  0 (direct)     65.75     4.00     3.50
  1 (profile)    73.25     4.00     5.50
  0 (direct)     82.75     4.00     4.25
  0 (direct)     91.00     4.00     5.75
  1 (profile)   100.75     4.00     6.00
  0 (direct)    110.75     4.00     5.50
  2 (control)   120.25     4.00     3.75
  1 (profile)   128.00     4.00     4.50
  2 (control)   136.50     4.00     6.25
  1 (profile)   146.75     4.00     4.50
  1 (profile)   155.25     4.00     3.00
  0 (direct)    162.25     4.00     7.00
  0 (direct)    173.25     4.00     1.25
  0 (direct)    178.50     4.00     3.00
  2 (control)   185.50     4.00     1.75
  0 (direct)    191.25     4.00     1.00
  0 (direct)    196.25     4.00     6.25
  2 (control)   206.50     4.00     6.75
  1 (profile)   217.25     4.00     6.50
  0 (direct)    227.75     4.00     5.00
  0 (direct)    236.75     4.00     6.75
  1 (profile)   247.50     4.00     2.75
  2 (control)   254.25     4.00     1.50
  2 (control)   259.75     4.00     3.75
  2 (control)   267.50     4.00     2.75
  1 (profile)   274.25     4.00     5.25
  2 (control)   283.50     4.00     7.00
  2 (control)   294.50     4.00     4.75
  2 (control)   303.25     4.00     6.50
  0 (direct)    313.75     4.00     2.50
  0 (direct)    320.25     4.00     5.25
  2 (control)   329.50     4.00     2.00
  2 (control)   335.50     4.00     3.25
  1 (profile)   342.75     4.00     1.25
  1 (profile)   348.00     4.00     1.75
  2 (control)   353.75     4.00     2.25
  1 (profile)   360.00     4.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  2 (control)     8.00     4.00     4.75
  0 (direct)     16.75     4.00     2.50
  1 (profile)    23.25     4.00     1.25
  2 (control)    28.50     4.00     3.75
  0 (direct)     36.25     4.00     7.00
  1 (profile)    47.25     4.00     5.00
  1 (profile)    56.25     4.00     3.00
  2 (control)    63.25     4.00     1.50
  1 (profile)    68.75     4.00     1.00
  0 (direct)     73.75     4.00     5.50
  0 (direct)     83.25     4.00     6.50
  2 (control)    93.75     4.00     2.75
  1 (profile)   100.50     4.00     2.50
  1 (profile)   107.00     4.00     6.25
  2 (control)   117.25     4.00     4.25
  1 (profile)   125.50     4.00     4.50
  0 (direct)    134.00     4.00     4.50
  1 (profile)   142.50     4.00     5.25
  0 (direct)    151.75     4.00     3.25
  2 (control)   159.00     4.00     1.75
  2 (control)   164.75     4.00     1.50
  0 (direct)    170.25     4.00     5.75
  2 (control)   180.00     4.00     5.25
  0 (direct)    189.25     4.00     1.00
  1 (profile)   194.25     4.00     3.75
  1 (profile)   202.00     4.00     5.75
  0 (direct)    211.75     4.00     5.50
  1 (profile)   221.25     4.00     6.75
  2 (control)   232.00     4.00     6.50
  0 (direct)    242.50     4.00     6.75
  0 (direct)    253.25     4.00     1.75
  1 (profile)   259.00     4.00     3.50
  1 (profile)   266.50     4.00     6.00
  0 (direct)    276.50     4.00     2.25
  2 (control)   282.75     4.00     3.50
  1 (profile)   290.25     4.00     2.25
  2 (control)   296.50     4.00     1.25
  2 (control)   301.75     4.00     5.00
  0 (direct)    310.75     4.00     3.00
  2 (control)   317.75     4.00     2.75
  2 (control)   324.50     4.00     4.25
  0 (direct)    332.75     4.00     7.00
  1 (profile)   343.75     4.00     2.00
  0 (direct)    349.75     4.00     6.25
  2 (control)   360.00     4.00     0.00

