-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.00
  0 (anger)      16.00     6.00     2.25
  1 (disgust)    24.25     6.00     6.00
  0 (anger)      36.25     6.00     3.00
  1 (disgust)    45.25     6.00     4.25
  1 (disgust)    55.50     6.00     3.50
  0 (anger)      65.00     6.00     3.25
  0 (anger)      74.25     6.00     4.25
  0 (anger)      84.50     6.00     2.50
  1 (disgust)    93.00     6.00     3.50
  1 (disgust)   102.50     6.00     3.50
  1 (disgust)   112.00     6.00     2.25
  0 (anger)     120.25     6.00     9.50
  0 (anger)     135.75     6.00     5.25
  1 (disgust)   147.00     6.00     2.25
  0 (anger)     155.25     6.00     4.00
  0 (anger)     165.25     6.00     6.75
  1 (disgust)   178.00     6.00     4.50
  1 (disgust)   188.50     6.00     2.75
  1 (disgust)   197.25     6.00     4.00
  0 (anger)     207.25     6.00     2.50
  1 (disgust)   215.75     6.00     5.50
  1 (disgust)   227.25     6.00     3.25
  1 (disgust)   236.50     6.00     3.00
  1 (disgust)   245.50     6.00     8.50
  0 (anger)     260.00     6.00     7.50
  1 (disgust)   273.50     6.00     2.00
  0 (anger)     281.50     6.00     5.50
  1 (disgust)   293.00     6.00     2.50
  0 (anger)     301.50     6.00     3.00
  1 (disgust)   310.50     6.00     2.25
  0 (anger)     318.75     6.00     7.00
  1 (disgust)   331.75     6.00     5.00
  1 (disgust)   342.75     6.00     2.25
  1 (disgust)   351.00     6.00     3.75
  0 (anger)     360.75     6.00     3.25
  0 (anger)     370.00     6.00     3.25
  0 (anger)     379.25     6.00     3.75
  0 (anger)     389.00     6.00     5.00
  0 (anger)     400.00     6.00     2.25
  0 (anger)     408.25     6.00     2.75
  1 (disgust)   417.00     6.00     2.75
  0 (anger)     425.75     6.00     8.00
  0 (anger)     439.75     6.00     4.75
  1 (disgust)   450.50     6.00     2.75
  1 (disgust)   459.25     6.00     3.75
  1 (disgust)   469.00     6.00     3.00
  1 (disgust)   478.00     6.00     4.75
  0 (anger)     488.75     6.00     4.50
  0 (anger)     499.25     6.00     4.25
  1 (disgust)   509.50     6.00     2.50
  1 (disgust)   518.00     6.00     2.75
  1 (disgust)   526.75     6.00     5.75
  0 (anger)     538.50     6.00     2.00
  1 (disgust)   546.50     6.00     6.25
  1 (disgust)   558.75     6.00     2.50
  0 (anger)     567.25     6.00     6.50
  1 (disgust)   579.75     6.00     2.50
  0 (anger)     588.25     6.00     3.75
  0 (anger)     598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.25
  0 (anger)      16.25     6.00     2.25
  1 (disgust)    24.50     6.00     3.00
  1 (disgust)    33.50     6.00     2.25
  0 (anger)      41.75     6.00     4.50
  1 (disgust)    52.25     6.00     2.75
  1 (disgust)    61.00     6.00     2.75
  0 (anger)      69.75     6.00     3.75
  0 (anger)      79.50     6.00     8.00
  1 (disgust)    93.50     6.00     3.75
  0 (anger)     103.25     6.00     6.50
  0 (anger)     115.75     6.00     4.75
  1 (disgust)   126.50     6.00     6.25
  1 (disgust)   138.75     6.00     2.75
  0 (anger)     147.50     6.00     3.50
  1 (disgust)   157.00     6.00     3.50
  1 (disgust)   166.50     6.00     2.50
  1 (disgust)   175.00     6.00     7.50
  1 (disgust)   188.50     6.00     4.50
  0 (anger)     199.00     6.00     4.75
  1 (disgust)   209.75     6.00     5.75
  1 (disgust)   221.50     6.00     2.75
  0 (anger)     230.25     6.00     5.50
  0 (anger)     241.75     6.00     5.50
  0 (anger)     253.25     6.00     7.00
  1 (disgust)   266.25     6.00     2.00
  0 (anger)     274.25     6.00     6.75
  0 (anger)     287.00     6.00     4.25
  0 (anger)     297.25     6.00     6.00
  0 (anger)     309.25     6.00     3.00
  0 (anger)     318.25     6.00     5.00
  0 (anger)     329.25     6.00     2.00
  0 (anger)     337.25     6.00     3.50
  0 (anger)     346.75     6.00     3.25
  1 (disgust)   356.00     6.00     2.75
  1 (disgust)   364.75     6.00     2.50
  0 (anger)     373.25     6.00     9.50
  1 (disgust)   388.75     6.00     2.50
  1 (disgust)   397.25     6.00     5.00
  1 (disgust)   408.25     6.00     8.50
  0 (anger)     422.75     6.00     3.00
  1 (disgust)   431.75     6.00     3.25
  0 (anger)     441.00     6.00     4.00
  0 (anger)     451.00     6.00     4.25
  1 (disgust)   461.25     6.00     4.00
  0 (anger)     471.25     6.00     2.25
