ID,Weight,Nested,Procedure,SlideImage,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16
0,1,,SlideProc,block 6 matrix 1.bmp,NE,DI,DI,NE,DI,NE,NE,DI,NE,DI,DI,NE,NE,NE,DI,DI
1,1,,SlideProc,block 6 matrix 2.bmp,DI,NE,NE,DI,NE,DI,DI,NE,NE,NE,NE,NE,DI,DI,DI,DI
2,1,,SlideProc,block 6 matrix 3.bmp,NE,NE,DI,NE,DI,NE,DI,NE,DI,DI,NE,DI,NE,NE,DI,DI
3,1,,SlideProc,block 6 matrix 4.bmp,DI,NE,NE,NE,DI,NE,NE,NE,NE,DI,DI,DI,DI,NE,DI,DI
4,1,,SlideProc,block 6 matrix 5.bmp,DI,DI,DI,DI,DI,DI,NE,DI,NE,DI,NE,NE,NE,NE,NE,NE
5,1,,SlideProc,block 6 matrix 6.bmp,NE,DI,DI,DI,NE,NE,DI,NE,NE,DI,NE,NE,DI,DI,NE,DI
6,1,,SlideProc,block 6 matrix 7.bmp,DI,DI,DI,NE,NE,NE,DI,NE,DI,NE,DI,NE,DI,NE,NE,DI
7,1,,SlideProc,block 6 matrix 8.bmp,NE,NE,NE,DI,DI,NE,NE,DI,DI,DI,DI,NE,NE,NE,DI,DI
8,1,,SlideProc,block 6 matrix 9.bmp,DI,NE,NE,NE,DI,DI,DI,DI,DI,NE,NE,NE,DI,NE,DI,NE
9,1,,SlideProc,block 6 matrix 10.bmp,NE,DI,DI,NE,DI,NE,NE,NE,NE,DI,DI,DI,NE,DI,DI,NE
10,1,,SlideProc,block 6 matrix 11.bmp,DI,NE,DI,DI,NE,DI,NE,DI,NE,NE,DI,NE,DI,NE,NE,DI
11,1,,SlideProc,block 6 matrix 12.bmp,NE,NE,NE,DI,DI,DI,NE,NE,DI,NE,DI,NE,DI,NE,DI,DI
12,1,,SlideProc,block 6 matrix 13.bmp,NE,DI,DI,NE,DI,DI,DI,DI,DI,NE,NE,NE,NE,NE,NE,DI
13,1,,SlideProc,block 6 matrix 14.bmp,NE,NE,DI,DI,NE,NE,NE,DI,DI,DI,DI,NE,NE,DI,NE,DI
14,1,,SlideProc,block 6 matrix 15.bmp,DI,DI,NE,NE,NE,DI,NE,DI,NE,NE,DI,DI,NE,DI,DI,NE
15,1,,SlideProc,block 6 matrix 16.bmp,DI,NE,NE,DI,NE,NE,NE,DI,DI,DI,DI,DI,NE,NE,DI,NE
16,1,,SlideProc,block 6 matrix 17.bmp,NE,NE,DI,DI,NE,NE,NE,DI,NE,DI,DI,DI,NE,DI,NE,DI
17,1,,SlideProc,block 6 matrix 18.bmp,DI,DI,NE,DI,NE,DI,NE,NE,DI,DI,NE,NE,NE,NE,DI,DI
18,1,,SlideProc,block 6 matrix 19.bmp,DI,DI,NE,NE,NE,DI,DI,DI,DI,NE,NE,NE,NE,DI,DI,NE
19,1,,SlideProc,block 6 matrix 20.bmp,DI,DI,DI,NE,DI,DI,DI,NE,DI,NE,NE,NE,NE,NE,NE,DI
20,1,,SlideProc,block 6 matrix 21.bmp,DI,DI,DI,DI,NE,NE,DI,DI,NE,DI,NE,DI,NE,NE,NE,NE
21,1,,SlideProc,block 6 matrix 22.bmp,NE,NE,NE,DI,DI,DI,NE,NE,NE,NE,DI,DI,DI,DI,NE,DI
22,1,,SlideProc,block 6 matrix 23.bmp,NE,NE,NE,NE,NE,DI,DI,DI,DI,NE,NE,DI,NE,DI,DI,DI
23,1,,SlideProc,block 6 matrix 24.bmp,NE,NE,NE,DI,NE,NE,DI,NE,DI,NE,DI,DI,DI,NE,DI,DI
24,1,,SlideProc,block 6 matrix 25.bmp,DI,NE,DI,NE,NE,DI,NE,NE,DI,NE,DI,DI,DI,NE,DI,NE
25,1,,SlideProc,block 6 matrix 26.bmp,DI,DI,NE,DI,NE,DI,DI,DI,NE,NE,NE,NE,NE,DI,NE,DI
26,1,,SlideProc,block 6 matrix 27.bmp,DI,NE,DI,DI,NE,DI,DI,DI,DI,NE,NE,NE,NE,NE,NE,DI
27,1,,SlideProc,block 6 matrix 28.bmp,DI,NE,DI,NE,DI,DI,NE,DI,DI,NE,DI,NE,NE,DI,NE,NE
28,1,,SlideProc,block 6 matrix 29.bmp,NE,NE,NE,DI,DI,NE,DI,NE,NE,NE,DI,DI,DI,DI,DI,NE
29,1,,SlideProc,block 6 matrix 30.bmp,NE,DI,NE,NE,NE,DI,DI,DI,NE,NE,NE,DI,DI,DI,DI,NE
