ID,Weight,Nested,Procedure,SlideImage,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16
0,1,,SlideProc,block 1 matrix 1.bmp,DI_6F,NE_7M,NE_1M,DI_4F,DI_5F,NE_3F,DI_7F,DI_5M,DI_4M,DI_2F,NE_6M,NE_8M,NE_3M,DI_1F,NE_8F,NE_2M
1,1,,SlideProc,block 1 matrix 2.bmp,DI_1F,NE_7F,NE_4M,NE_7M,DI_4F,DI_2F,NE_3M,DI_6F,DI_8M,DI_3F,NE_1M,NE_5M,DI_2M,NE_6M,NE_5F,DI_8F
2,1,,SlideProc,block 1 matrix 3.bmp,DI_1F,DI_8M,NE_3F,NE_6F,DI_6M,NE_2M,DI_2F,DI_7F,NE_8F,DI_7M,NE_1M,NE_3M,NE_4M,NE_5M,DI_4F,DI_5F
3,1,,SlideProc,block 1 matrix 4.bmp,NE_4M,NE_8M,NE_7M,DI_2F,DI_2M,NE_4F,DI_6F,DI_6M,NE_5M,NE_8F,DI_1F,DI_7F,DI_1M,NE_3M,NE_3F,DI_5F
4,1,,SlideProc,block 1 matrix 5.bmp,DI_8F,NE_6F,DI_5M,NE_1M,DI_6M,DI_1F,NE_4F,DI_5F,DI_2F,DI_8M,NE_3F,NE_2M,NE_7F,NE_4M,DI_7M,NE_3M
5,1,,SlideProc,block 1 matrix 6.bmp,NE_7M,DI_4M,NE_2F,DI_4F,DI_7F,NE_6F,NE_5F,NE_6M,DI_8M,DI_5M,DI_8F,DI_1M,NE_3M,NE_3F,DI_2M,NE_1F
6,1,,SlideProc,block 1 matrix 7.bmp,DI_6F,NE_5F,DI_7M,NE_4M,DI_3F,NE_1M,NE_2M,DI_8F,NE_7F,DI_4F,DI_3M,NE_6M,NE_1F,NE_8M,DI_2F,DI_5M
7,1,,SlideProc,block 1 matrix 8.bmp,DI_3F,DI_2M,NE_3M,NE_1F,NE_1M,NE_6M,DI_5M,NE_6F,DI_7F,NE_4M,DI_5F,NE_8F,NE_2F,DI_7M,DI_4F,DI_8M
8,1,,SlideProc,block 1 matrix 9.bmp,DI_4F,NE_2M,DI_3F,DI_7F,DI_5F,NE_8F,NE_7M,NE_5M,DI_4M,DI_6M,DI_8M,NE_1F,DI_2F,NE_1M,NE_6F,NE_3M
9,1,,SlideProc,block 1 matrix 10.bmp,DI_8F,DI_5M,NE_1F,DI_6M,DI_5F,NE_2F,DI_4M,NE_4F,NE_7F,DI_1M,NE_8M,NE_3M,DI_2M,NE_7M,DI_6F,NE_3F
10,1,,SlideProc,block 1 matrix 11.bmp,DI_7F,DI_6M,NE_1M,NE_8M,DI_5F,DI_3M,DI_7M,DI_4M,NE_4F,NE_1F,NE_2F,DI_5M,NE_3F,DI_8F,NE_6F,NE_2M
11,1,,SlideProc,block 1 matrix 12.bmp,NE_4F,DI_3F,DI_1M,NE_7F,DI_4M,NE_3M,DI_8F,DI_2M,NE_5M,NE_2F,DI_6M,NE_5F,NE_6F,NE_7M,DI_8M,DI_1F
12,1,,SlideProc,block 1 matrix 13.bmp,NE_2F,DI_2M,NE_7F,NE_1M,DI_1F,DI_5F,NE_3M,NE_8M,NE_3F,NE_5M,DI_6F,DI_4F,DI_8F,DI_4M,DI_7M,NE_6M
13,1,,SlideProc,block 1 matrix 14.bmp,NE_3M,DI_8M,DI_6F,NE_3F,DI_1F,NE_2F,DI_6M,NE_4M,DI_1M,DI_7F,NE_8F,NE_5M,DI_2M,NE_5F,NE_7M,DI_4F
14,1,,SlideProc,block 1 matrix 15.bmp,DI_6M,DI_3F,NE_4F,DI_2M,NE_6F,NE_7M,DI_3M,NE_4M,NE_7F,NE_8F,DI_5F,DI_2F,DI_1M,DI_1F,NE_5M,NE_8M
15,1,,SlideProc,block 1 matrix 16.bmp,NE_6F,DI_7M,DI_1M,NE_4F,NE_5F,DI_3F,NE_7F,NE_5M,NE_4M,NE_2F,DI_6M,DI_8M,DI_3M,NE_1F,DI_8F,DI_2M
16,1,,SlideProc,block 1 matrix 17.bmp,NE_1F,DI_7F,DI_4M,DI_7M,NE_4F,NE_2F,DI_3M,NE_6F,NE_8M,NE_3F,DI_1M,DI_5M,NE_2M,DI_6M,DI_5F,NE_8F
17,1,,SlideProc,block 1 matrix 18.bmp,NE_1F,NE_8M,DI_3F,DI_6F,NE_6M,DI_2M,NE_2F,NE_7F,DI_8F,NE_7M,DI_1M,DI_3M,DI_4M,DI_5M,NE_4F,NE_5F
