TimeStamp,expName,Version,subjectID,Session,Event
08082021_21:53:15.94,DwellTask,3,1,1,Calibration started
08082021_21:53:19.91,DwellTask,3,1,1,Calibration completed
08082021_21:53:28.56,DwellTask,3,1,1,img/Disgust-Neutral\10N-6D\Block1Matrix5.jpeg shown (start)
08082021_21:53:52.57,DwellTask,3,1,1,img/Disgust-Neutral\10N-6D\Block1Matrix5.jpeg shown (end)
08082021_21:53:52.66,DwellTask,3,1,1,img/Disgust-Neutral\10N-6D\Block1Matrix26.jpeg shown (start)
08082021_21:54:16.67,DwellTask,3,1,1,img/Disgust-Neutral\10N-6D\Block1Matrix26.jpeg shown (end)
08082021_21:54:16.76,DwellTask,3,1,1,img/Anger-Neutral\6N10A\Block1Matrix29.jpeg shown (start)
08082021_21:54:40.76,DwellTask,3,1,1,img/Anger-Neutral\6N10A\Block1Matrix29.jpeg shown (end)
08082021_21:54:43.01,DwellTask,3,1,1,Rest message shown (start)
08082021_21:54:44.61,DwellTask,3,1,1,Message: Let's rest for a bit.  Press the spacebar when you are ready to keep playing. shown (end)
