,fileName,Title,Artist,Album,Genre,Release Date,Length
0,music\01 (Underneath the) Lovely London Sky.mp3,(Underneath the) Lovely London Sky,Lin-Manuel Miranda,Mary Poppins Returns (Original Motion Picture Soundtrack),Soundtrack,2018,3:47
1,music\01 24K Magic.mp3,24K Magic,Bruno Mars,24K Magic,Pop,2016,3:46
2,music\01 Bad Romance.mp3,Bad Romance,Lady Gaga,Bad Romance - Single,Pop,2009,4:54
3,music\01 Be Kind.mp3,Be Kind,Marshmello & Halsey,Be Kind - Single,Dance,2020,2:52
4,music\01 Beautiful Mistakes.mp3,Beautiful Mistakes,Maroon 5 & Megan Thee Stallion,JORDI,Pop,2021,3:47
5,music\01 Believer (Kaskade Remix).mp3,Believer (Kaskade Remix),Imagine Dragons,Believer (Kaskade Remix) - Single,Alternative,2017,3:10
6,music\01 Boomerang.mp3,Boomerang,JoJo Siwa,Boomerang - Single,Pop,2016,3:27
7,music\01 Born in the U.S.A..mp3,Born in the U.S.A.,Bruce Springsteen,Born In the U.S.A.,Rock,1984,4:39
8,music\01 Born to Be Yours.mp3,Born to Be Yours,Kygo & Imagine Dragons,Born to Be Yours - Single,Dance,2019,3:13
9,music\01 Born to Run.mp3,Born to Run,Bruce Springsteen,Greatest Hits,Rock,1975,4:30
10,music\01 brutal.mp3,brutal,Olivia Rodrigo,SOUR,Pop,2021,2:23
11,music\01 Butter.mp3,Butter,BTS,Butter - Single,K-Pop,2021,2:44
12,music\01 Chandelier.mp3,Chandelier,Sia,1000 Forms of Fear,Pop,2014,3:36
13,music\01 Come Together (2019 Mix).mp3,Come Together (2019 Mix),The Beatles,Abbey Road (2019 Mix),Rock,1969,4:20
14,music\01 Cover Me Up.mp3,Cover Me Up,Morgan Wallen,Cover Me Up - Single,Country,2019,4:52
15,music\01 Cruise.mp3,Cruise,Florida Georgia Line,It'z Just What We Do - EP,Country,2012,3:29
16,music\01 Crying in the Club.mp3,Crying in the Club,Camila Cabello,Crying in the Club - Single,Pop,2017,3:36
17,music\01 Cuz I Love You.mp3,Cuz I Love You,Lizzo,Cuz I Love You,Pop,2019,3:1
18,music\01 Don't Start Now.mp3,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,2019,3:3
19,music\01 Dynamite.mp3,Dynamite,BTS,Dynamite - Single,K-Pop,2020,3:19
20,music\01 Every Girl's a Super Girl.mp3,Every Girl's a Super Girl,JoJo Siwa,Every Girl's a Super Girl - Single,Pop,2018,2:56
21,music\01 Golden.mp3,Golden,Harry Styles,Fine Line,Pop,2019,3:28
22,music\01 Higher Love.mp3,Higher Love,Kygo & Whitney Houston,Higher Love - Single,Pop,2019,3:48
23,music\01 HOLIDAY.mp3,HOLIDAY,Lil Nas X,HOLIDAY - Single,Pop,2020,2:35
24,music\01 It Ain't Me.mp3,It Ain't Me,Kygo & Selena Gomez,It Ain't Me - Single,Pop,2017,3:40
25,music\01 Kid in a Candy Store.mp3,Kid in a Candy Store,JoJo Siwa,Kid in a Candy Store - Single,Pop,2017,3:1
26,music\01 Know Your Worth.mp3,Know Your Worth,Khalid & Disclosure,Know Your Worth - Single,R&B/Soul,2020,3:1
27,music\01 Laugh Now Cry Later (feat. Lil Durk).mp3,Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk) - Single,Hip-Hop/Rap,2020,4:21
28,music\01 Leave Before You Love Me.mp3,Leave Before You Love Me,Marshmello & Jonas Brothers,Leave Before You Love Me - Single,Pop,2021,2:35
29,music\01 Leave The Door Open.mp3,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",Leave The Door Open - Single,R&B/Soul,2021,4:2
30,music\01 Life Goes On.mp3,Life Goes On,BTS,BE,K-Pop,2020,3:27
31,music\01 Lil Bit.mp3,Lil Bit,Nelly & Florida Georgia Line,Lil Bit - Single,Country,2020,3:16
