-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     3.50
  1 (disgust)    17.50     6.00     2.25
  1 (disgust)    25.75     6.00     3.50
  1 (disgust)    35.25     6.00     2.25
  0 (anger)      43.50     6.00     2.75
  0 (anger)      52.25     6.00     2.50
  1 (disgust)    60.75     6.00     4.75
  0 (anger)      71.50     6.00     2.75
  0 (anger)      80.25     6.00     3.25
  0 (anger)      89.50     6.00     2.00
  1 (disgust)    97.50     6.00     4.25
  1 (disgust)   107.75     6.00     5.00
  0 (anger)     118.75     6.00     6.25
  0 (anger)     131.00     6.00     3.25
  1 (disgust)   140.25     6.00     9.50
  1 (disgust)   155.75     6.00     2.50
  1 (disgust)   164.25     6.00     3.75
  0 (anger)     174.00     6.00     4.50
  1 (disgust)   184.50     6.00     3.00
  1 (disgust)   193.50     6.00     4.25
  0 (anger)     203.75     6.00     2.75
  0 (anger)     212.50     6.00     2.25
  1 (disgust)   220.75     6.00     2.50
  0 (anger)     229.25     6.00     2.00
  1 (disgust)   237.25     6.00     3.00
  1 (disgust)   246.25     6.00     2.25
  1 (disgust)   254.50     6.00     2.50
  0 (anger)     263.00     6.00     5.25
  0 (anger)     274.25     6.00     3.75
  1 (disgust)   284.00     6.00     2.50
  0 (anger)     292.50     6.00     3.00
  1 (disgust)   301.50     6.00     5.75
  0 (anger)     313.25     6.00     2.25
  0 (anger)     321.50     6.00     7.50
  1 (disgust)   335.00     6.00     2.25
  1 (disgust)   343.25     6.00     7.00
  1 (disgust)   356.25     6.00     4.50
  0 (anger)     366.75     6.00     2.75
  0 (anger)     375.50     6.00     3.75
  0 (anger)     385.25     6.00     6.50
  1 (disgust)   397.75     6.00     2.50
  0 (anger)     406.25     6.00     4.00
  0 (anger)     416.25     6.00     5.50
  1 (disgust)   427.75     6.00     6.75
  0 (anger)     440.50     6.00     5.50
  1 (disgust)   452.00     6.00     5.00
  1 (disgust)   463.00     6.00     2.00
  1 (disgust)   471.00     6.00     3.25
  1 (disgust)   480.25     6.00     8.00
  1 (disgust)   494.25     6.00     8.50
