-- run 1 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     2.50
  0 (anger)      16.50     6.00     2.75
  0 (anger)      25.25     6.00     2.75
  0 (anger)      34.00     6.00     2.25
  0 (anger)      42.25     6.00     2.00
  0 (anger)      50.25     6.00     2.00
  1 (disgust)    58.25     6.00     2.50
  1 (disgust)    66.75     6.00     7.50
  1 (disgust)    80.25     6.00     9.50
  0 (anger)      95.75     6.00     3.75
  1 (disgust)   105.50     6.00     8.50
  0 (anger)     120.00     6.00     2.50
  1 (disgust)   128.50     6.00     5.50
  1 (disgust)   140.00     6.00     3.75
  0 (anger)     149.75     6.00     4.50
  1 (disgust)   160.25     6.00     3.00
  0 (anger)     169.25     6.00     2.00
  1 (disgust)   177.25     6.00     5.25
  0 (anger)     188.50     6.00     3.75
  1 (disgust)   198.25     6.00     3.00
  1 (disgust)   207.25     6.00     2.75
  1 (disgust)   216.00     6.00     4.25
  0 (anger)     226.25     6.00     2.25
  1 (disgust)   234.50     6.00     3.50
  1 (disgust)   244.00     6.00     4.00
  1 (disgust)   254.00     6.00     3.25
  0 (anger)     263.25     6.00     3.50
  0 (anger)     272.75     6.00     3.00
  1 (disgust)   281.75     6.00     2.75
  0 (anger)     290.50     6.00     6.00
  1 (disgust)   302.50     6.00     5.00
  0 (anger)     313.50     6.00     3.50
  0 (anger)     323.00     6.00     2.50
  0 (anger)     331.50     6.00     2.25
  1 (disgust)   339.75     6.00     4.75
  1 (disgust)   350.50     6.00     2.25
  1 (disgust)   358.75     6.00     6.75
  1 (disgust)   371.50     6.00     3.00
  1 (disgust)   380.50     6.00     8.00
  1 (disgust)   394.50     6.00     3.25
  1 (disgust)   403.75     6.00     5.00
  1 (disgust)   414.75     6.00     4.25
  1 (disgust)   425.00     6.00     4.25
  1 (disgust)   435.25     6.00     3.75
  1 (disgust)   445.00     6.00     2.75
  0 (anger)     453.75     6.00     3.25
  0 (anger)     463.00     6.00     4.50
  1 (disgust)   473.50     6.00     2.25
  0 (anger)     481.75     6.00     6.25
  1 (disgust)   494.00     6.00     5.50
  1 (disgust)   505.50     6.00     5.75
  1 (disgust)   517.25     6.00     6.50
  1 (disgust)   529.75     6.00     7.00
  0 (anger)     542.75     6.00     2.25
  1 (disgust)   551.00     6.00     4.75
  0 (anger)     561.75     6.00     4.00
  1 (disgust)   571.75     6.00     3.25
  1 (disgust)   581.00     6.00     2.50
  1 (disgust)   589.50     6.00     2.50
  1 (disgust)   598.00     6.00     0.00

-- run 2 events --
class            start      dur     rest
-----            -----     ----     ----
  0 (anger)       8.00     6.00     3.25
  0 (anger)      17.25     6.00     2.50
  1 (disgust)    25.75     6.00     2.25
  0 (anger)      34.00     6.00     3.00
  1 (disgust)    43.00     6.00     3.75
  1 (disgust)    52.75     6.00     4.25
  1 (disgust)    63.00     6.00     6.75
  0 (anger)      75.75     6.00     6.50
  1 (disgust)    88.25     6.00     5.75
  0 (anger)     100.00     6.00     9.50
  0 (anger)     115.50     6.00     3.00
  1 (disgust)   124.50     6.00     4.25
  0 (anger)     134.75     6.00     3.50
  1 (disgust)   144.25     6.00     4.00
  1 (disgust)   154.25     6.00     2.75
  0 (anger)     163.00     6.00     2.50
  0 (anger)     171.50     6.00     4.50
  1 (disgust)   182.00     6.00     8.00
  0 (anger)     196.00     6.00     3.50
  1 (disgust)   205.50     6.00     8.50
  0 (anger)     220.00     6.00     2.00
  1 (disgust)   228.00     6.00     4.00
  0 (anger)     238.00     6.00     5.00
  1 (disgust)   249.00     6.00     2.50
  0 (anger)     257.50     6.00     3.75
  0 (anger)     267.25     6.00     2.25
  0 (anger)     275.50     6.00     2.25
  0 (anger)     283.75     6.00     2.00
  0 (anger)     291.75     6.00     5.50
  1 (disgust)   303.25     6.00     3.25
  0 (anger)     312.50     6.00     4.50
  0 (anger)     323.00     6.00     3.00
  1 (disgust)   332.00     6.00     4.75
  1 (disgust)   342.75     6.00     2.75
  1 (disgust)   351.50     6.00     5.50
  1 (disgust)   363.00     6.00     2.25
  0 (anger)     371.25     6.00     2.25
  0 (anger)     379.50     6.00     5.25
  0 (anger)     390.75     6.00     2.50
  1 (disgust)   399.25     6.00     2.75
  0 (anger)     408.00     6.00     7.00
  0 (anger)     421.00     6.00     3.75
  0 (anger)     430.75     6.00     5.00
  0 (anger)     441.75     6.00     3.00
  0 (anger)     450.75     6.00     6.25
  1 (disgust)   463.00     6.00     4.75
  1 (disgust)   473.75     6.00     3.25
  1 (disgust)   483.00     6.00     2.50
  0 (anger)     491.50     6.00     7.50
  0 (anger)     505.00     6.00     6.00
  1 (disgust)   517.00     6.00     4.25
  1 (disgust)   527.25     6.00     2.25
  0 (anger)     535.50     6.00     2.75
  1 (disgust)   544.25     6.00     3.75
  1 (disgust)   554.00     6.00     2.00
  0 (anger)     562.00     6.00     2.75
  0 (anger)     570.75     6.00     3.25
  0 (anger)     580.00     6.00     2.50
  1 (disgust)   588.50     6.00     3.50
  1 (disgust)   598.00     6.00     0.00

-- run 3 events --
class            start      dur     rest
-----            -----     ----     ----
  1 (disgust)     8.00     6.00     2.50
  0 (anger)      16.50     6.00     4.00
  1 (disgust)    26.50     6.00     2.00
  0 (anger)      34.50     6.00     4.50
  1 (disgust)    45.00     6.00     2.50
  1 (disgust)    53.50     6.00     3.50
  1 (disgust)    63.00     6.00     4.25
  0 (anger)      73.25     6.00     5.25
  0 (anger)      84.50     6.00     6.00
  0 (anger)      96.50     6.00     4.25
  1 (disgust)   106.75     6.00     2.25
  1 (disgust)   115.00     6.00     3.00
  0 (anger)     124.00     6.00     2.50
  1 (disgust)   132.50     6.00     8.00
  1 (disgust)   146.50     6.00     3.75
  0 (anger)     156.25     6.00     2.00
  0 (anger)     164.25     6.00     3.25
  0 (anger)     173.50     6.00     6.75
  0 (anger)     186.25     6.00     2.75
  0 (anger)     195.00     6.00     3.75
  1 (disgust)   204.75     6.00     5.00
  1 (disgust)   215.75     6.00     2.75
  0 (anger)     224.50     6.00     2.25
  0 (anger)     232.75     6.00     3.25
  1 (disgust)   242.00     6.00     9.50
  0 (anger)     257.50     6.00     2.75
  0 (anger)     266.25     6.00     3.50
  0 (anger)     275.75     6.00     2.50
  0 (anger)     284.25     6.00     6.25
  1 (disgust)   296.50     6.00     7.50
  1 (disgust)   310.00     6.00     3.75
  1 (disgust)   319.75     6.00     3.25
  1 (disgust)   329.00     6.00     7.00
  1 (disgust)   342.00     6.00     2.25
  0 (anger)     350.25     6.00     3.00
  0 (anger)     359.25     6.00     2.50
  0 (anger)     367.75     6.00     8.50
  0 (anger)     382.25     6.00     2.25
  1 (disgust)   390.50     6.00     5.00
  1 (disgust)   401.50     6.00     3.25
  0 (anger)     410.75     6.00     5.50
  0 (anger)     422.25     6.00     3.00
  0 (anger)     431.25     6.00     2.75
  0 (anger)     440.00     6.00     4.75
  0 (anger)     450.75     6.00     5.50
  0 (anger)     462.25     6.00     6.50
  1 (disgust)   474.75     6.00     5.75
  0 (anger)     486.50     6.00     2.25
  1 (disgust)   494.75     6.00     2.00
  0 (anger)     502.75     6.00     2.25
  1 (disgust)   511.00     6.00     4.00
  0 (anger)     521.00     6.00     3.00
  0 (anger)     530.00     6.00     4.75
  1 (disgust)   540.75     6.00     4.50
  1 (disgust)   551.25     6.00     2.50
  1 (disgust)   559.75     6.00     4.25
  0 (anger)     570.00     6.00     2.75
  1 (disgust)   578.75     6.00     3.50
  0 (anger)     588.25     6.00     3.75
  0 (anger)     598.00     6.00     0.00

