expName,Version,subjectID,Session Number,Section,Start Time,End Time,Duration,Block Count,Trial Count,Image Displayed,Flanker,Direction,Correct Answer,Cell Number,User Response,Correct or Incorrect,User Response TimeStamp,User Response Time
FlankerTask,1,1,1,Instruction,04/01/22 09:59:03,04/01/22 09:59:06,2.996568,,,,,,,,,,,
FlankerTask,1,1,1,Waiting for scanner,04/01/22 09:59:06,04/01/22 09:59:07,0.999427,0,,,,,,,,,,
FlankerTask,1,1,1,Get Ready Screen,04/01/22 09:59:07,04/01/22 09:59:15,8.015508,0,,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:15,04/01/22 09:59:15,0.566728,0,0,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:15,04/01/22 09:59:16,0.414151,0,0,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:16,04/01/22 09:59:17,1.716358,,0,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:17,04/01/22 09:59:18,0.509242,0,0,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:18,04/01/22 09:59:18,0.32883,0,1,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:18,04/01/22 09:59:19,0.41262,0,1,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:19,04/01/22 09:59:20,1.716309,,1,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:20,04/01/22 09:59:21,0.509825,0,1,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:21,04/01/22 09:59:21,0.337979,0,2,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:21,04/01/22 09:59:22,0.407311,0,2,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:22,04/01/22 09:59:23,1.709461,,2,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:23,04/01/22 09:59:24,0.525125,0,2,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:24,04/01/22 09:59:24,0.3959,0,3,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:24,04/01/22 09:59:25,0.414758,0,3,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:25,04/01/22 09:59:26,1.71874,,3,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:26,04/01/22 09:59:27,0.526157,0,3,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:27,04/01/22 09:59:27,0.446107,0,4,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:27,04/01/22 09:59:28,0.422182,0,4,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:28,04/01/22 09:59:29,1.726338,,4,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:29,04/01/22 09:59:30,0.509953,0,4,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:30,04/01/22 09:59:30,0.480524,0,5,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:30,04/01/22 09:59:31,0.413481,0,5,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:31,04/01/22 09:59:33,1.718546,,5,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:33,04/01/22 09:59:33,0.509881,0,5,,,,,,,,,
