TimeStamp,expName,SubjectID,Session,Event
08-04-2021 14:27:30,MemoryParadigm,1,1,Test Instruction (Screen 1) 0 started,
08-04-2021 14:27:31,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:31,MemoryParadigm,1,1,Test Instruction (Screen 1) 0 ended,
08-04-2021 14:27:31,MemoryParadigm,1,1,Test Instruction (Screen 2) 0 started,
08-04-2021 14:27:32,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:32,MemoryParadigm,1,1,Test Instruction (Screen 2) 0 ended,
08-04-2021 14:27:32,MemoryParadigm,1,1,Test Instruction (Screen 3) 0 started,
08-04-2021 14:27:32,MemoryParadigm,1,1,Instruction shown (Third screen),
08-04-2021 14:27:33,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:33,MemoryParadigm,1,1,Test Instruction (Screen 3) 0 ended,
08-04-2021 14:27:33,MemoryParadigm,1,1,Practice try#0 0 started,
08-04-2021 14:27:36,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:37,MemoryParadigm,1,1,Practice try#0 0 ended,
08-04-2021 14:27:37,MemoryParadigm,1,1,Practice Success Screen 0 started,
08-04-2021 14:27:37,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:37,MemoryParadigm,1,1,Practice Success Screen 0 ended,
08-04-2021 14:27:37,MemoryParadigm,1,1,Test:1 of 24 (Try #0) 0 started,
08-04-2021 14:27:38,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:38,MemoryParadigm,1,1,Test:1 of 24Try #0 0 ended,
08-04-2021 14:27:39,MemoryParadigm,1,1,Test:2 of 24 (Try #0) 0 started,
08-04-2021 14:27:39,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:39,MemoryParadigm,1,1,Test:2 of 24Try #0 0 ended,
08-04-2021 14:27:40,MemoryParadigm,1,1,Test:3 of 24 (Try #0) 0 started,
08-04-2021 14:27:40,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:40,MemoryParadigm,1,1,Test:3 of 24Try #0 0 ended,
08-04-2021 14:27:41,MemoryParadigm,1,1,Test:4 of 24 (Try #0) 0 started,
08-04-2021 14:27:41,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:41,MemoryParadigm,1,1,Test:4 of 24Try #0 0 ended,
08-04-2021 14:27:42,MemoryParadigm,1,1,Test:5 of 24 (Try #0) 0 started,
08-04-2021 14:27:42,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:42,MemoryParadigm,1,1,Test:5 of 24Try #0 0 ended,
08-04-2021 14:27:43,MemoryParadigm,1,1,Test:6 of 24 (Try #0) 0 started,
08-04-2021 14:27:43,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:43,MemoryParadigm,1,1,Test:6 of 24Try #0 0 ended,
08-04-2021 14:27:43,MemoryParadigm,1,1,Test:7 of 24 (Try #0) 0 started,
08-04-2021 14:27:46,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:46,MemoryParadigm,1,1,Test:7 of 24Try #0 0 ended,
08-04-2021 14:27:47,MemoryParadigm,1,1,Test:8 of 24 (Try #0) 0 started,
08-04-2021 14:27:47,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:47,MemoryParadigm,1,1,Test:8 of 24Try #0 0 ended,
08-04-2021 14:27:48,MemoryParadigm,1,1,Test:9 of 24 (Try #0) 0 started,
08-04-2021 14:27:48,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:48,MemoryParadigm,1,1,Test:9 of 24Try #0 0 ended,
08-04-2021 14:27:49,MemoryParadigm,1,1,Test:10 of 24 (Try #0) 0 started,
08-04-2021 14:27:49,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:49,MemoryParadigm,1,1,Test:10 of 24Try #0 0 ended,
08-04-2021 14:27:50,MemoryParadigm,1,1,Test:11 of 24 (Try #0) 0 started,
08-04-2021 14:27:50,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:50,MemoryParadigm,1,1,Test:11 of 24Try #0 0 ended,
08-04-2021 14:27:50,MemoryParadigm,1,1,Test:12 of 24 (Try #0) 0 started,
08-04-2021 14:27:52,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:52,MemoryParadigm,1,1,Test:12 of 24Try #0 0 ended,
08-04-2021 14:27:52,MemoryParadigm,1,1,Test:13 of 24 (Try #0) 0 started,
08-04-2021 14:27:52,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:52,MemoryParadigm,1,1,Test:13 of 24Try #0 0 ended,
08-04-2021 14:27:53,MemoryParadigm,1,1,Test:14 of 24 (Try #0) 0 started,
08-04-2021 14:27:53,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:53,MemoryParadigm,1,1,Test:14 of 24Try #0 0 ended,
08-04-2021 14:27:54,MemoryParadigm,1,1,Test:15 of 24 (Try #0) 0 started,
08-04-2021 14:27:54,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:54,MemoryParadigm,1,1,Test:15 of 24Try #0 0 ended,
08-04-2021 14:27:54,MemoryParadigm,1,1,Test:16 of 24 (Try #0) 0 started,
08-04-2021 14:27:55,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:55,MemoryParadigm,1,1,Test:16 of 24Try #0 0 ended,
08-04-2021 14:27:56,MemoryParadigm,1,1,Test:17 of 24 (Try #0) 0 started,
08-04-2021 14:27:56,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:56,MemoryParadigm,1,1,Test:17 of 24Try #0 0 ended,
08-04-2021 14:27:57,MemoryParadigm,1,1,Test:18 of 24 (Try #0) 0 started,
08-04-2021 14:27:57,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:27:57,MemoryParadigm,1,1,Test:18 of 24Try #0 0 ended,
08-04-2021 14:27:58,MemoryParadigm,1,1,Test:19 of 24 (Try #0) 0 started,
08-04-2021 14:28:01,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:28:01,MemoryParadigm,1,1,Test:19 of 24Try #0 0 ended,
08-04-2021 14:28:01,MemoryParadigm,1,1,Test:20 of 24 (Try #0) 0 started,
08-04-2021 14:28:01,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:28:01,MemoryParadigm,1,1,Test:20 of 24Try #0 0 ended,
08-04-2021 14:28:02,MemoryParadigm,1,1,Test:21 of 24 (Try #0) 0 started,
08-04-2021 14:28:02,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:28:02,MemoryParadigm,1,1,Test:21 of 24Try #0 0 ended,
08-04-2021 14:28:03,MemoryParadigm,1,1,Test:22 of 24 (Try #0) 0 started,
08-04-2021 14:28:03,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 14:28:03,MemoryParadigm,1,1,Test:22 of 24Try #0 0 ended,
