TimeStamp,expName,SubjectID,Session,Event
08-04-2021 16:50:10,MemoryParadigm,1,1,Study Instruction (Screen 1) 0 started,
08-04-2021 16:50:11,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:50:11,MemoryParadigm,1,1,Study Instruction (Screen 1) 0 ended,
08-04-2021 16:50:11,MemoryParadigm,1,1,Study Instruction (Screen 2) 0 started,
08-04-2021 16:50:16,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:50:16,MemoryParadigm,1,1,Study Instruction (Screen 2) 0 ended,
08-04-2021 16:50:18,MemoryParadigm,1,1,Study 0 started,
08-04-2021 16:50:23,MemoryParadigm,1,1,Study 0 ended,
08-04-2021 16:50:24,MemoryParadigm,1,1,Study 1 started,
08-04-2021 16:50:29,MemoryParadigm,1,1,Study 1 ended,
08-04-2021 16:50:31,MemoryParadigm,1,1,Study 2 started,
08-04-2021 16:50:36,MemoryParadigm,1,1,Study 2 ended,
08-04-2021 16:50:37,MemoryParadigm,1,1,Study 3 started,
08-04-2021 16:50:42,MemoryParadigm,1,1,Study 3 ended,
08-04-2021 16:50:44,MemoryParadigm,1,1,Study 4 started,
08-04-2021 16:50:49,MemoryParadigm,1,1,Study 4 ended,
08-04-2021 16:50:50,MemoryParadigm,1,1,Study 5 started,
08-04-2021 16:50:55,MemoryParadigm,1,1,Study 5 ended,
08-04-2021 16:50:57,MemoryParadigm,1,1,Study 6 started,
08-04-2021 16:51:02,MemoryParadigm,1,1,Study 6 ended,
08-04-2021 16:51:04,MemoryParadigm,1,1,Study 7 started,
08-04-2021 16:51:09,MemoryParadigm,1,1,Study 7 ended,
08-04-2021 16:51:10,MemoryParadigm,1,1,Study 8 started,
08-04-2021 16:51:15,MemoryParadigm,1,1,Study 8 ended,
08-04-2021 16:51:17,MemoryParadigm,1,1,Study 9 started,
08-04-2021 16:51:22,MemoryParadigm,1,1,Study 9 ended,
08-04-2021 16:51:23,MemoryParadigm,1,1,Study 10 started,
08-04-2021 16:51:28,MemoryParadigm,1,1,Study 10 ended,
08-04-2021 16:51:30,MemoryParadigm,1,1,Study 11 started,
08-04-2021 16:51:35,MemoryParadigm,1,1,Study 11 ended,
08-04-2021 16:51:36,MemoryParadigm,1,1,Study 12 started,
08-04-2021 16:51:41,MemoryParadigm,1,1,Study 12 ended,
08-04-2021 16:51:43,MemoryParadigm,1,1,Study 13 started,
08-04-2021 16:51:48,MemoryParadigm,1,1,Study 13 ended,
08-04-2021 16:51:49,MemoryParadigm,1,1,Study 14 started,
08-04-2021 16:51:55,MemoryParadigm,1,1,Study 14 ended,
08-04-2021 16:51:56,MemoryParadigm,1,1,Study 15 started,
08-04-2021 16:52:01,MemoryParadigm,1,1,Study 15 ended,
08-04-2021 16:52:03,MemoryParadigm,1,1,Study 16 started,
08-04-2021 16:52:08,MemoryParadigm,1,1,Study 16 ended,
08-04-2021 16:52:09,MemoryParadigm,1,1,Study 17 started,
08-04-2021 16:52:14,MemoryParadigm,1,1,Study 17 ended,
08-04-2021 16:52:16,MemoryParadigm,1,1,Study 18 started,
08-04-2021 16:52:21,MemoryParadigm,1,1,Study 18 ended,
08-04-2021 16:52:22,MemoryParadigm,1,1,Study 19 started,
08-04-2021 16:52:27,MemoryParadigm,1,1,Study 19 ended,
08-04-2021 16:52:29,MemoryParadigm,1,1,Study 20 started,
08-04-2021 16:52:34,MemoryParadigm,1,1,Study 20 ended,
08-04-2021 16:52:35,MemoryParadigm,1,1,Study 21 started,
08-04-2021 16:52:41,MemoryParadigm,1,1,Study 21 ended,
08-04-2021 16:52:42,MemoryParadigm,1,1,Study 22 started,
08-04-2021 16:52:47,MemoryParadigm,1,1,Study 22 ended,
08-04-2021 16:52:49,MemoryParadigm,1,1,Study 23 started,
08-04-2021 16:52:54,MemoryParadigm,1,1,Study 23 ended,
08-04-2021 16:52:54,MemoryParadigm,1,1,Instruction (last screen) 0 started,
08-04-2021 16:53:23,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:53:23,MemoryParadigm,1,1,Instruction (last screen) 0 ended,
08-04-2021 16:53:23,MemoryParadigm,1,1,Test Instruction (Screen 1) 0 started,
08-04-2021 16:53:24,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:53:24,MemoryParadigm,1,1,Test Instruction (Screen 1) 0 ended,
08-04-2021 16:53:24,MemoryParadigm,1,1,Test Instruction (Screen 2) 0 started,
08-04-2021 16:53:25,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:53:25,MemoryParadigm,1,1,Test Instruction (Screen 2) 0 ended,
08-04-2021 16:53:25,MemoryParadigm,1,1,Test Instruction (Screen 3) 0 started,
08-04-2021 16:53:25,MemoryParadigm,1,1,Instruction shown (Third screen),
08-04-2021 16:53:27,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:53:27,MemoryParadigm,1,1,Test Instruction (Screen 3) 0 ended,
08-04-2021 16:53:27,MemoryParadigm,1,1,Practice try#0 0 started,
08-04-2021 16:53:37,MemoryParadigm,1,1,Practice try#0 0 ended,
08-04-2021 16:53:37,MemoryParadigm,1,1,Play Practice Again Screen 0 started,
08-04-2021 16:54:19,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:19,MemoryParadigm,1,1,Play Practice Again Screen 0 ended,
08-04-2021 16:54:19,MemoryParadigm,1,1,Practice try#0 0 started,
08-04-2021 16:54:20,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:20,MemoryParadigm,1,1,Practice try#0 0 ended,
08-04-2021 16:54:20,MemoryParadigm,1,1,Practice Success Screen 0 started,
08-04-2021 16:54:21,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:21,MemoryParadigm,1,1,Practice Success Screen 0 ended,
08-04-2021 16:54:21,MemoryParadigm,1,1,Test:1 of 24 (Try #0) 0 started,
08-04-2021 16:54:22,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:22,MemoryParadigm,1,1,Test:1 of 24Try #0 0 ended,
08-04-2021 16:54:23,MemoryParadigm,1,1,Test:2 of 24 (Try #0) 0 started,
08-04-2021 16:54:23,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:23,MemoryParadigm,1,1,Test:2 of 24Try #0 0 ended,
08-04-2021 16:54:24,MemoryParadigm,1,1,Test:3 of 24 (Try #0) 0 started,
08-04-2021 16:54:24,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:24,MemoryParadigm,1,1,Test:3 of 24Try #0 0 ended,
08-04-2021 16:54:25,MemoryParadigm,1,1,Test:4 of 24 (Try #0) 0 started,
08-04-2021 16:54:25,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:25,MemoryParadigm,1,1,Test:4 of 24Try #0 0 ended,
08-04-2021 16:54:25,MemoryParadigm,1,1,Test:5 of 24 (Try #0) 0 started,
08-04-2021 16:54:26,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:26,MemoryParadigm,1,1,Test:5 of 24Try #0 0 ended,
08-04-2021 16:54:26,MemoryParadigm,1,1,Test:6 of 24 (Try #0) 0 started,
08-04-2021 16:54:26,MemoryParadigm,1,1,Mouse clicked,
08-04-2021 16:54:26,MemoryParadigm,1,1,Test:6 of 24Try #0 0 ended,
