Trial_ID,Step,Stimulus,Response,ResponseTime,Duration,CorrectAnswer,Type
1,Fixation,+,,,0.504140833276324,,
1,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4t.bmp,,,0.509016124997288,[,mNTi
1,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4t.bmp,,,1.0031961667118594,[,mNTi
1,ITI,ITI,,,0.4775547083700076,,
1,Fixation,+,,,2.5038585416041315,,
2,Fixation,+,,,0.504163583391346,,
2,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5045279583428055,[,fNTc
2,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.003400125016924,[,fNTc
2,ITI,ITI,,,0.45217070827493444,,
2,Fixation,+,,,2.50279279157985,,
3,Fixation,+,,,0.5046357500250451,,
3,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3n.bmp,,,0.504032916680444,[,mNN
3,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3n.bmp,,,1.0031686250003986,[,mNN
3,ITI,ITI,,,0.2772372500039637,,
3,Fixation,+,,,2.5024862916907296,,
4,Fixation,+,,,0.5043488750234246,,
4,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,0.5042956665856764,[,fNN
4,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,1.0033680000342429,[,fNN
4,ITI,ITI,,,0.5274130416219123,,
4,Fixation,+,,,2.5029615833773278,,
5,Fixation,+,,,0.504423875012435,,
5,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.5044726667110808,[,fNTc
5,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.0031337082618847,[,fNTc
5,ITI,ITI,,,0.7519297499675304,,
5,Fixation,+,,,2.502681375015527,,
6,Fixation,+,,,0.5038710415828973,,
6,Display Faces,enlarged_images/A/f1t.bmp / enlarged_images/A/f1n.bmp,,,0.506154625036288,[,fNTi
6,Display Faces,enlarged_images/A/f1t.bmp / enlarged_images/A/f1n.bmp,,,1.0033880000119098,[,fNTi
6,ITI,ITI,,,0.3521173750050366,,
6,Fixation,+,,,2.502258541644551,,
7,Fixation,+,,,0.5030624166829512,,
7,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,0.5041092917090282,[,mNTc
7,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,1.0045739999623038,[,mNTc
7,ITI,ITI,,,0.7520254167029634,,
7,Fixation,+,,,2.502766916702967,,
8,Fixation,+,,,0.5070579582825303,,
8,Display Faces,enlarged_images/A/m1t.bmp / enlarged_images/A/m1n.bmp,,,0.5052358333487064,[,mNTi
8,Display Faces,enlarged_images/A/m1t.bmp / enlarged_images/A/m1n.bmp,,,1.0033307917183265,[,mNTi
8,ITI,ITI,,,0.7019701667013578,,
8,Fixation,+,,,2.5023238750291057,,
9,Fixation,+,,,0.5044797083828598,,
9,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1n.bmp,,,0.505078541697003,[,mNN
9,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1n.bmp,,,1.003001624951139,[,mNN
9,ITI,ITI,,,0.6520965833915398,,
9,Fixation,+,,,2.5035462916712277,,
10,Fixation,+,,,0.5042017500381917,,
10,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5039980834117159,[,fNN
10,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0033404999994673,[,fNN
10,ITI,ITI,,,0.402041083376389,,
10,Fixation,+,,,2.5022905417135917,,
11,Fixation,+,,,0.504420708399266,,
11,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,0.5039341249503195,[,fNN
11,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,1.0031250417232513,[,fNN
11,ITI,ITI,,,0.6272753333905712,,
11,Fixation,+,,,2.5022294583613984,,
12,Fixation,+,,,0.5034892082912847,,
12,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2n.bmp,,,0.5040087083471008,[,mNN
12,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2n.bmp,,,1.0038884583045729,[,mNN
12,ITI,ITI,,,0.45201449998421595,,
12,Fixation,+,,,2.5022130833240226,,
13,Fixation,+,,,0.504532583290711,,
13,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4t.bmp,,,0.5042765833204612,[,fNTi
13,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4t.bmp,,,1.0030741666560061,[,fNTi
13,ITI,ITI,,,0.32735879166284576,,
13,Fixation,+,,,2.502246208314318,,
14,Fixation,+,,,0.5040712499758229,,
14,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.5040525833028369,[,fNN
14,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.003553958318662,[,fNN
14,ITI,ITI,,,0.42699108336819336,,
14,Fixation,+,,,2.5024116249987856,,
15,Fixation,+,,,0.5043318333337083,,
15,Display Faces,enlarged_images/A/m5t.bmp / enlarged_images/A/m5n.bmp,,,0.5072534166974947,[,mNTi
15,Display Faces,enlarged_images/A/m5t.bmp / enlarged_images/A/m5n.bmp,,,1.003101250040345,[,mNTi
15,ITI,ITI,,,0.5280137083027512,,
15,Fixation,+,,,2.5031144583481364,,
16,Fixation,+,,,0.5043233333271928,,
16,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5042157084099017,[,mNTc
16,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0033294582972303,[,mNTc
16,ITI,ITI,,,0.7272481250111014,,
16,Fixation,+,,,2.5023452917230316,,
17,Fixation,+,,,0.5042264583753422,,
17,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2t.bmp,,,0.5058269166620448,[,fNTi
17,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2t.bmp,,,1.0030526666669175,[,fNTi
17,ITI,ITI,,,0.3526292499736883,,
17,Fixation,+,,,2.502873458317481,,
18,Fixation,+,,,0.5044547916040756,,
18,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5037295416695997,[,mNTc
18,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0032774166902527,[,mNTc
18,ITI,ITI,,,0.6270084166899323,,
18,Fixation,+,,,2.502206291654147,,
19,Fixation,+,,,0.5042439166572876,,
19,Display Faces,enlarged_images/A/m5t.bmp / enlarged_images/A/m5n.bmp,,,0.5036099583376199,[,mNTi
19,Display Faces,enlarged_images/A/m5t.bmp / enlarged_images/A/m5n.bmp,,,1.0032109167077579,[,mNTi
19,ITI,ITI,,,0.4023847916396335,,
19,Fixation,+,,,2.5024297916679643,,
20,Fixation,+,,,0.5040140833007172,,
20,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5037486667279154,[,fNN
20,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0037677499931306,[,fNN
20,ITI,ITI,,,0.27708766667637974,,
