ID,Weight,Nested,Procedure,FaceTop,FaceBottom,ProbeTop,ProbeBottom,CorrectResponse,ProbeBehind,ProbeType,ProbeLocation,Condition
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
,1,,,,,left,blank,[leftresp],baseline,left,top,baseline
,1,,,,,right,blank,[rightresp],baseline,right,top,baseline
,1,,,,,blank,left,[leftresp],baseline,left,bottom,baseline
,1,,,,,blank,right,[rightresp],baseline,right,bottom,baseline
