ID,Weight,Nested,Procedure,FaceTop,FaceBottom,ProbeTop,ProbeBottom,CorrectResponse,ProbeBehind,ProbeType,ProbeLocation,Condition
,1,,,f1n,f1n,left,blank,[leftresp],neutral,left,top,neutral
,1,,,f1n,f1n,right,blank,[rightresp],neutral,right,top,neutral
,1,,,f1n,f1n,blank,left,[leftresp],neutral,left,bottom,neutral
,1,,,f1n,f1n,blank,right,[rightresp],neutral,right,bottom,neutral
,1,,,f2n,f2n,left,blank,[leftresp],neutral,left,top,neutral
,1,,,f2n,f2n,right,blank,[rightresp],neutral,right,top,neutral
,1,,,f2n,f2n,blank,left,[leftresp],neutral,left,bottom,neutral
,1,,,f2n,f2n,blank,right,[rightresp],neutral,right,bottom,neutral
,1,,,f3n,f3n,left,blank,[leftresp],neutral,left,top,neutral
,1,,,f3n,f3n,right,blank,[rightresp],neutral,right,top,neutral
,1,,,f3n,f3n,blank,left,[leftresp],neutral,left,bottom,neutral
,1,,,f3n,f3n,blank,right,[rightresp],neutral,right,bottom,neutral
,1,,,f4n,f4n,left,blank,[leftresp],neutral,left,top,neutral
,1,,,f4n,f4n,right,blank,[rightresp],neutral,right,top,neutral
,1,,,f4n,f4n,blank,left,[leftresp],neutral,left,bottom,neutral
,1,,,f4n,f4n,blank,right,[rightresp],neutral,right,bottom,neutral
,1,,,f5n,f5n,left,blank,[leftresp],neutral,left,top,neutral
,1,,,f5n,f5n,right,blank,[rightresp],neutral,right,top,neutral
,1,,,f5n,f5n,blank,left,[leftresp],neutral,left,bottom,neutral
,1,,,f5n,f5n,blank,right,[rightresp],neutral,right,bottom,neutral
