ID,Weight,Nested,Procedure,FaceTop,FaceBottom,ProbeTop,ProbeBottom,CorrectResponse,ProbeBehind,ProbeType,ProbeLocation,Condition
,1,,,f1n,f1t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,f1n,f1t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,f1t,f1n,left,blank,[leftresp],threat,left,top,congruent
,1,,,f1t,f1n,right,blank,[rightresp],threat,right,top,congruent
,1,,,f2n,f2t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,f2n,f2t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,f2t,f2n,left,blank,[leftresp],threat,left,top,congruent
,1,,,f2t,f2n,right,blank,[rightresp],threat,right,top,congruent
,1,,,f3n,f3t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,f3n,f3t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,f3t,f3n,left,blank,[leftresp],threat,left,top,congruent
,1,,,f3t,f3n,right,blank,[rightresp],threat,right,top,congruent
,1,,,f4n,f4t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,f4n,f4t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,f4t,f4n,left,blank,[leftresp],threat,left,top,congruent
,1,,,f4t,f4n,right,blank,[rightresp],threat,right,top,congruent
,1,,,f5n,f5t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,f5n,f5t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,f5t,f5n,left,blank,[leftresp],threat,left,top,congruent
,1,,,f5t,f5n,right,blank,[rightresp],threat,right,top,congruent
