ID,Weight,Nested,Procedure,FaceTop,FaceBottom,ProbeTop,ProbeBottom,CorrectResponse,ProbeBehind,ProbeType,ProbeLocation,Condition
,1,,,m1n,m1t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,m1n,m1t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,m1t,m1n,left,blank,[leftresp],threat,left,top,congruent
,1,,,m1t,m1n,right,blank,[rightresp],threat,right,top,congruent
,1,,,m2n,m2t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,m2n,m2t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,m2t,m2n,left,blank,[leftresp],threat,left,top,congruent
,1,,,m2t,m2n,right,blank,[rightresp],threat,right,top,congruent
,1,,,m3n,m3t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,m3n,m3t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,m3t,m3n,left,blank,[leftresp],threat,left,top,congruent
,1,,,m3t,m3n,right,blank,[rightresp],threat,right,top,congruent
,1,,,m4n,m4t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,m4n,m4t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,m4t,m4n,left,blank,[leftresp],threat,left,top,congruent
,1,,,m4t,m4n,right,blank,[rightresp],threat,right,top,congruent
,1,,,m5n,m5t,blank,left,[leftresp],threat,left,bottom,congruent
,1,,,m5n,m5t,blank,right,[rightresp],threat,right,bottom,congruent
,1,,,m5t,m5n,left,blank,[leftresp],threat,left,top,congruent
,1,,,m5t,m5n,right,blank,[rightresp],threat,right,top,congruent
