ID,Weight,Nested,Procedure,FaceTop,FaceBottom,ProbeTop,ProbeBottom,CorrectResponse,ProbeBehind,ProbeType,ProbeLocation,Condition
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
,1,,,blank,blank,blank,blank,,null,null,,null
